company,job,degree,salary_morethan_100k
google,sales executive,bachelors,0
google,sales executive,masters,0
google,bussiness manager,bachelors,1
google,bussiness manager,masters,1
google,computer programmer,bachelors,0
google,computer programmer,masters,1
abc pharma,computer programmer,masters,0
abc pharma,computer programmer,bachelors,0
abc pharma,bussiness manager,bachelors,0
abc pharma,bussiness manager,masters,1
facebook,sales executive,bachelors,1
facebook,sales executive,masters,1
facebook,bussiness manager,bachelors,1
facebook,bussiness manager,masters,1
facebook,computer programmer,bachelors,1
facebook,computer programmer,masters,1
